startdate,enddate,employeekey,parentemployeekey,employeenationalidalternatekey,parentemployeenationalidalternatekey,salesterritorykey,firstname,lastname,middlename,namestyle,title,hiredate,birthdate,loginid,emailaddress,phone,maritalstatus,emergencycontactname,emergencycontactphone,salariedflag,gender,payfrequency,baserate,vacationhours,sickleavehours,currentflag,salespersonflag,departmentname,startdate_2,enddate_2,status
2006-01-28,,1,18,14417807,NULL,11,Guy,Gilbert,R,0,Production Technician - WC60,2006-01-28,1981-11-12,adventure-works\guy1,guy1@adventure-works.com,320-555-0195,M,Guy Gilbert,320-555-0195,0,M,1,12.45,21,30,1,0,Production,2006-01-28,,Current
2006-08-26,,2,7,253022876,NULL,11,Kevin,Brown,F,0,Marketing Assistant,2006-08-26,1986-12-01,adventure-works\kevin0,kevin0@adventure-works.com,150-555-0189,S,Kevin Brown,150-555-0189,0,M,2,13.4615,42,41,1,0,Marketing,2006-08-26,,Current
2007-06-11,,3,14,509647174,NULL,11,Roberto,Tamburello,NULL,0,Engineering Manager,2007-06-11,1974-06-12,adventure-works\roberto0,roberto0@adventure-works.com,212-555-0187,M,Roberto Tamburello,212-555-0187,1,M,2,43.2692,2,21,1,0,Engineering,2007-06-11,,Current
2007-07-05,2009-12-28,4,3,112457891,NULL,11,Rob,Walters,NULL,0,Senior Tool Designer,2007-07-05,1974-07-23,adventure-works\rob0,rob0@adventure-works.com,612-555-0100,S,Rob Walters,612-555-0100,0,M,2,29.8462,48,80,1,0,Tool Design,2007-07-05,2009-12-28,NULL
2007-07-11,,6,267,480168528,NULL,11,Thierry,D'Hers,B,0,Tool Designer,2007-07-11,1959-02-26,adventure-works\thierry0,thierry0@adventure-works.com,168-555-0183,M,Thierry D'Hers,168-555-0183,0,M,2,25.0,9,24,1,0,Tool Design,2007-07-11,,Current
2007-07-26,,9,23,309738752,NULL,11,JoLynn,Dobney,M,0,Production Supervisor - WC60,2007-07-26,1955-08-16,adventure-works\jolynn0,jolynn0@adventure-works.com,903-555-0145,S,JoLynn Dobney,903-555-0145,0,F,2,25.0,82,61,1,0,Production,2007-07-26,,Current
2007-08-06,,10,189,690627818,NULL,11,Ruth,Ellerbrock,Ann,0,Production Technician - WC10,2007-08-06,1956-01-03,adventure-works\ruth0,ruth0@adventure-works.com,145-555-0130,M,Ruth Ellerbrock,145-555-0130,0,F,1,13.45,83,61,1,0,Production,2007-08-06,,Current
2007-08-06,,11,3,695256908,NULL,11,Gail,Erickson,A,0,Design Engineer,2007-08-06,1952-04-27,adventure-works\gail0,gail0@adventure-works.com,849-555-0139,M,Gail Erickson,849-555-0139,1,F,2,32.6923,5,22,1,0,Engineering,2007-08-06,,Current
2007-08-07,,12,189,912265825,NULL,11,Barry,Johnson,K,0,Production Technician - WC10,2007-08-07,1955-10-25,adventure-works\barry0,barry0@adventure-works.com,206-555-0180,S,Barry Johnson,206-555-0180,0,M,1,13.45,88,64,1,0,Production,2007-08-07,,Current
2007-08-24,,13,3,998320692,NULL,11,Jossef,Goldberg,H,0,Design Engineer,2007-08-24,1958-10-09,adventure-works\jossef0,jossef0@adventure-works.com,122-555-0189,M,Jossef Goldberg,122-555-0189,1,M,2,32.6923,6,23,1,0,Engineering,2007-08-24,,Current
2007-08-31,,14,112,245797967,NULL,11,Terri,Duffy,Lee,0,Vice President of Engineering,2007-08-31,1971-03-01,adventure-works\terri0,terri0@adventure-works.com,819-555-0175,S,Terri Duffy,819-555-0175,1,F,2,63.4615,1,20,1,0,Engineering,2007-08-31,,Current
2007-09-02,,15,189,844973625,NULL,11,Sidney,Higa,M,0,Production Technician - WC10,2007-09-02,1956-03-30,adventure-works\sidney0,sidney0@adventure-works.com,424-555-0189,M,Sidney Higa,424-555-0189,0,M,1,13.45,84,62,1,0,Production,2007-09-02,,Current
2007-09-08,,16,23,233069302,NULL,11,Taylor,Maxwell,R,0,Production Supervisor - WC50,2007-09-08,1955-10-31,adventure-works\taylor0,taylor0@adventure-works.com,508-555-0165,M,Taylor Maxwell,508-555-0165,0,M,2,25.0,79,59,1,0,Production,2007-09-08,,Current
2007-09-20,,17,189,132674823,NULL,11,Jeffrey,Ford,L,0,Production Technician - WC10,2007-09-20,1956-02-09,adventure-works\jeffrey0,jeffrey0@adventure-works.com,984-555-0185,S,Jeffrey Ford,984-555-0185,0,M,1,13.45,85,62,1,0,Production,2007-09-20,,Current
2007-09-27,,18,23,446466105,NULL,11,Jo,Brown,A,0,Production Supervisor - WC60,2007-09-27,1956-05-08,adventure-works\jo0,jo0@adventure-works.com,632-555-0129,S,Jo Brown,632-555-0129,0,F,2,25.0,80,60,1,0,Production,2007-09-27,,Current
2007-10-09,,19,189,565090917,NULL,11,Doris,Hartwig,M,0,Production Technician - WC10,2007-10-09,1955-11-03,adventure-works\doris0,doris0@adventure-works.com,328-555-0150,M,Doris Hartwig,328-555-0150,0,F,1,13.45,86,63,1,0,Production,2007-10-09,,Current
2007-10-16,,20,23,494170342,NULL,11,John,Campbell,T,0,Production Supervisor - WC60,2007-10-16,1956-03-07,adventure-works\john0,john0@adventure-works.com,435-555-0113,M,John Campbell,435-555-0113,0,M,2,25.0,81,60,1,0,Production,2007-10-16,,Current
2007-10-27,,21,189,9659517,NULL,11,Diane,Glimp,R,0,Production Technician - WC10,2007-10-27,1955-10-28,adventure-works\diane0,diane0@adventure-works.com,202-555-0151,M,Diane Glimp,202-555-0151,0,F,1,13.45,87,63,1,0,Production,2007-10-27,,Current
2008-07-01,,22,177,443968955,NULL,11,Steven,Selikoff,T,0,Production Technician - WC30,2008-07-01,1976-12-12,adventure-works\steven0,steven0@adventure-works.com,925-555-0114,M,Steven Selikoff,925-555-0114,0,M,1,9.5,41,40,1,0,Production,2008-07-01,,Current
